Catalogue No.,Lot Number,Artist Name 1,Title,Handwritten Note,Object Type,Object Notes,Inscription,Seller,Transaction,Buyer,Lot Notes,Previous Owner,Previous Sales,Post Owner,Post Sales,Present Location,Sale Date,Auction House,Sale Location,Coordinates,Lugt Number
Br-4544,0004[b],"FUSELI, HENRY (Swiss)","A woman's head, Orpheus and Eurydice, by Fuseli; and a moonlight (THIS LOT:  Orpheus and Eurydice; lots 4[a] by Rembrandt & 4[c] by Anonymous)",,Painting,,,"Doyle. Charles William, Sir; from catalog: Doyle","Sold, 1.11 £ for lots 4[a-c]",Johnson; from catalog: Johnson,,,,,,,1836 Feb 13,Christie's,"London, England","51.5074, 0.1278",14214
Br-4544,0004[c],[ANONYMOUS] (Unknown),"A woman's head, Orpheus and Eurydice, by Fuseli; and a moonlight (THIS LOT:  A moonlight; lots 4[a] by Rembrandt & 4[b] by Fuseli)",,Painting,,,"Doyle. Charles William, Sir; from catalog: Doyle","Sold, 1.11 £ for lots 4[a-c]",Johnson; from catalog: Johnson,,,,,,,1836 Feb 13,Christie's,"London, England","51.5074, 0.1278",14214
Br-4544,31,"MAES, DIRK (Dutch)","Interior, with a woman picking a fowl",,Painting,,,Knapp; from catalog: Knapp,"Sold, 2.2 £",Rutley; from catalog: Rutley,,,,,,,1836 Feb 13,Christie's,"London, England","51.5074, 0.1278",14214
Br-4547,35,"BREKELENCAM, QUIRINGH GERRITSZ. VAN (Dutch)","Interior, with a woman scouring a pan, with children and utensils; very highly finished",,Painting,,,"Kynaston, Roger; from catalog: Roger Kynaston Esq","Sold, 13.10 £",Henderson; from catalog: Henderson,,,,,,,1836 Feb 20,Christie's,"London, England","51.5074, 0.1278",14221
Br-4556,30,REMBRANDT HARMENSZ. VAN RIJN (Dutch),Head of an old woman,,Painting,,,Peacock; from catalog: Peacock,"Sold, 1.6 £",Schrards [?]; from catalog: Schrards [?],,,,,,,1836 Mar 05,Christie's,"London, England","51.5074, 0.1278",14241
Br-4556,95,MIERIS (Dutch),"A man with a glass of ale and a pipe, standing at a sculptured window, and a woman with fish; exquisitely finished",,Painting,,,Fitzgibbon; from catalog: Fitzgibbon,"Sold, 9.9 £",Haywood; from catalog: Haywood,,,,,,,1836 Mar 05,Christie's,"London, England","51.5074, 0.1278",14241
Br-4556,96,"DOU, GERARD (Dutch)","An interior, with an old woman with a spinning-wheel eating soup; with admirable effect of light -- engraved",,Painting,,,Fitzgibbon; from catalog: Fitzgibbon,"Sold, 25.4 £",Edwards; from catalog: Edwards,,,,,,,1836 Mar 05,Christie's,"London, England","51.5074, 0.1278",14241
Br-4556,99,"J. Severn, Rome, 1831",A woman and child of Sorrento,,Painting,,1831 (dated?),"Taylor, B., Sir; from catalog: Sir B Taylor","Bought In, 4.4 £",,It is unclear whether the date is inscribed on the painting.,,,,,,1836 Mar 05,Christie's,"London, England","51.5074, 0.1278",14241
Br-4556,101,"GRYEF, ADRIAEN DE (Flemish)","A garden scene, with a greyhound, and dead game, and a man and woman at a window; highly finished",,Painting,,,"Taylor, B., Sir; from catalog: Sir B Taylor","Sold, 4.4 £",Wood [?]; from catalog: Wood [?],,,,,,,1836 Mar 05,Christie's,"London, England","51.5074, 0.1278",14241
Br-4552,14,[FRENCH - MODERN] (French),"A woman and a child, with a cat",,Painting,,,"Yates, George; from catalog: Yates","Sold, 3.12 pounds",Norton; from catalog: Norton,,,,,,,1836 Feb 27,Christie's,"London, England","51.5074, 0.1278",14231
Br-4552,41,"BREKELENCAM, QUIRINGH GERRITSZ. VAN (Dutch)","An old woman, with vegetables",,Painting,,,Bendixen; from catalog: Bendixen,"Sold, 2.12 pounds",Knapp; from catalog: Knapp,,,,,,,1836 Feb 27,Christie's,"London, England","51.5074, 0.1278",14231
Br-4589,0057[b],[ANONYMOUS] (Unknown),"Head of an old woman, and fish (THIS LOT:  Fish; lot 57[a] by Rembrandt)",,Painting,,,Moore; from catalog: Moore,"Bought In, 1.0 pounds for lots 57[a] & 57[b]",,,,,,,,1836 Apr 15 - 1836 Apr 16 (This Lot: Apr 15),Christie's,"London, England","51.5074, 0.1278",14303
Br-4552,47,"TENIERS, DAVID (THE YOUNGER) (Flemish)","A landscape, with a woman milking a cow, and a peasant in conversation",,Painting,,,Hart; from catalog: Hart,"Sold, 5.10 pounds",Farrer; from catalog: Farrer,,,,,,,1836 Feb 27,Christie's,"London, England","51.5074, 0.1278",14231
Br-4552,53,"SCHALCKEN, GODFRIED (Dutch)","An old woman, with a candle",,Painting,,,Bendixen; from catalog: Bendixen,"Bought In, 0.8 pounds",,,,,,,,1836 Feb 27,Christie's,"London, England","51.5074, 0.1278",14231
Br-4552,85,"SORGH, HENDRIK MARTENSZ. (Dutch)","Interior, with an old woman peeling turnips",,Painting,,,Belville; from catalog: Belville,"Sold, 2.5 pounds",Gay; from catalog: Gay,,,,,,,1836 Feb 27,Christie's,"London, England","51.5074, 0.1278",14231
Br-4575,20,"RYCKAERT, DAVID (III) (Flemish)",A woman working -- interior,,Painting,,,Carey; from catalog: Carey,"Sold, 1.1 pounds",Ryman; from catalog: Ryman,,,,,,,1836 Mar 26,Christie's,"London, England","51.5074, 0.1278",14272
Br-4575,31,"METSU, GABRIEL (Dutch), changed to Herp, Wm. (I)",A woman with a kettle,,Painting,,,Pace; from catalog: Pace,"Sold, 2.12 pounds",Ryman; from catalog: Ryman,The artist's name was changed by hand from Metzu to Van Harpe in the CL copy of the catalogue.,,,,,,1836 Mar 26,Christie's,"London, England","51.5074, 0.1278",14272
Br-4590,452,[FRENCH] (French),"A woman, interior -- on copper",,Painting,on copper,,"Reynolds, S.W.; from catalog: S W Reynolds Esq","Sold, 1.13 pounds",Edwards; from catalog: Edwards,,,,,,,1836 Apr 18 - 1836 Apr 20 (This Lot: Apr 20),Christie's,"London, England","51.5074, 0.1278",14307
Br-4589,43,"RYCKAERT, DAVID (III) (Flemish)",A man and woman smoking,,Painting,,,Katterbach; from catalog: Katterbach,"Bought In, 2.10 pounds",,,,,,,,1836 Apr 15 - 1836 Apr 16 (This Lot: Apr 15),Christie's,"London, England","51.5074, 0.1278",14303
Br-4589,56,"KALF, WILLEM (Dutch)","Exterior, with a woman cleaning utensils -- unframed",,Painting,,,Moore; from catalog: Moore,"Sold, 3.13 pounds",Whitmore; from catalog: Whitmore,,,,,,,1836 Apr 15 - 1836 Apr 16 (This Lot: Apr 15),Christie's,"London, England","51.5074, 0.1278",14303
Br-4589,0057[a],REMBRANDT HARMENSZ. VAN RIJN (Dutch),"Head of an old woman, and fish (THIS LOT:  Head of an old woman; lot 57[b] by Anonymous)",,Painting,,,Moore; from catalog: Moore,"Bought In, 1.0 pounds for lots 57[a] & 57[b]",,,,,,,,1836 Apr 15 - 1836 Apr 16 (This Lot: Apr 15),Christie's,"London, England","51.5074, 0.1278",14303
Br-4747,28,"VELDE, ADRIAEN VAN DE (Dutch)","A Goat, in a landscape, and a woman with milk-pails near a shed to the left; painted with great truth to Nature",,Painting,,,"Pringle, John, Sir; from catalog: Sir John Pringle Bart","Sold, 21.0 pounds",Pennell; from catalog: Pennell,,,,,,,1837 May 13,Christie's,"London, England","51.5074, 0.1278",14714
Br-4747,27,"TENIERS, DAVID (THE YOUNGER) (Flemish)","An Interior, with a woman seated lighting a pipe, and a man with a jug and glass; full of character",,Painting,,,"Pringle, John, Sir; from catalog: Sir John Pringle Bart","Sold, 23.2 pounds",Dyson; from catalog: Dyson,,,,,,,1837 May 13,Christie's,"London, England","51.5074, 0.1278",14714
Br-4899,30,MIERIS (Dutch),A woman playing the guitar,,Painting,,,"Fletcher, C.; from catalog: C Fletcher India Board","Sold, 6.0 £","Rutley, John Lewis; from catalog: Rutley",,,,,,,1838 Jun 15,Christie's,"London, England","51.5074, 0.1278",15110
Br-4594,111,"VELÁZQUEZ, DIEGO RODRÍGUEZ DE SILVA Y (Spanish)","Boys quarrelling for some grapes, and an old woman with a distaff; a clever and spirited sketch, full of character",,Painting,,,"Houlton, John D.; from catalog: Houlton","Sold, 5.5 pounds",Money; from catalog: Money,,,,,1837/06/24 LOCH 0122 |X Br-4771,,1836 Apr 23,Christie's,"London, England","51.5074, 0.1278",14317
Br-4594,64,"TENIERS, DAVID (THE YOUNGER) (Flemish)","A village festival.  Numerous figures are variously occupied, two of which, a man and a woman, are dancing to the music of a bagpiper, who is standing under a large tree; others are regaling and amusing themselves in various ways; some culinary utensils are lying about in the foreground",,Painting,,,"Artis, Richard; from catalog: Artis","Bought In, 86 Gs",,,,,,,,1836 Apr 23,Christie's,"London, England","51.5074, 0.1278",14317
Br-4594,63,"HOOCH, PIETER DE (Dutch)","An interior, with a lady dressed in a scarlet jacket trimmed with fur, and a grey satin petticoat embroidered with gold, seated near a fire-place feeding an infant, which she holds on her left arm enveloped in a blanket; her attention at the same time is arrested by the approach of a female domestic with a dish of fish, which she appears to have received from a woman who stands near the door at the back of the picture: the effect of sunshine through the open doorway is truly magical: a cradle, with a mantle bordered with fur laying on it, is in front; a capital specimen",,Painting,,,"Artis, Richard; from catalog: Artis","Sold, 59.17 pounds",Heath; from catalog: Heath,,,,,,,1836 Apr 23,Christie's,"London, England","51.5074, 0.1278",14317
Br-4594,58,"TENIERS, DAVID (THE YOUNGER) (Flemish)","The village doctor.  On the right is a countryman in a grey jacket, seated in a chair with his left foot on a block of wood; a surgeon, dressed in brown jacket with yellow sleeves, is on one knee dressing a wound; in the centre is a woman with a basket on her arm, waiting her turn to consult the empiric; at the back is an assistant warming a plaster, and a man leaning on crutches is entering the apartment.  Signed D. Teniers (companion to lot 59)",,Painting,,D. Teniers (signed),"Artis, Richard; from catalog: Artis","Sold, 55.2 pounds",Heath; from catalog: Heath,,,,,,"Oxford, England, UK. Ashmolean Museum (1851.16)",1836 Apr 23,Christie's,"London, England","51.5074, 0.1278",14317
Br-4594,29,REMBRANDT HARMENSZ. VAN RIJN (Dutch),"Portrait of the physician, cats seated at a table, with a woman and child about to consult him; with admirable effect of light",,Painting,,,Scott; from catalog: Scott,"Bought In, 50 1/2",,,,,,,,1836 Apr 23,Christie's,"London, England","51.5074, 0.1278",14317
Br-4594,28,"OSTADE, ADRIAEN VAN (Dutch)","Interior, with a man tuning a violin, and a woman singing ballads, a man pouring out a glass of liquor; a richly coloured specimen",,Painting,,,Scott; from catalog: Scott,"Sold, 33.1 pounds",Thorp; from catalog: Thorp,,,,,,,1836 Apr 23,Christie's,"London, England","51.5074, 0.1278",14317
Br-4604,32,"DUJARDIN, KAREL (Dutch)",A woman with a grey horse and sheep,,Painting,,,Maude; from catalog: Maude,"Sold, 4.8 pounds","Stuart, J., Sir; from catalog: Sir J Stuart",,,,,,,1836 May 06 - 1836 May  7 (This Lot: May  7),Christie's,"London, England","51.5074, 0.1278",14341
Br-4604,114,"CRAESBEECK, JOOS VAN (Flemish)","An exterior, with a woman playing the pipe, and other figures",,Painting,,,"Rotterdam, Professor von; from catalog: Professor Von Rotterdam","Sold or Bought In, 4.0 pounds",Goeman; from catalog: Goeman,,,,,,,1836 May 06 - 1836 May  7 (This Lot: May  6),Christie's,"London, England","51.5074, 0.1278",14341
Br-4604,113,"CRAESBEECK, JOOS VAN (Flemish)","A man and woman at a table eating crabs, with other figures; a spirited and capital specimen",,Painting,,,"Rotterdam, Professor von; from catalog: Professor Von Rotterdam","Sold, 3.3 pounds",Watkins; from catalog: Watkins,,,,,,,1836 May 06 - 1836 May  7 (This Lot: May  6),Christie's,"London, England","51.5074, 0.1278",14341
Br-4604,107,"STAVEREN, JAN ADRIAENSZ. VAN (Dutch)","A woman at a window with a pestle and mortar, dead game, vegetables, and utensils; a highly finished and grand specimen",,Painting,,,"Rotterdam, Professor von; from catalog: Professor Von Rotterdam","Sold, 18.10 pounds",Woodin; from catalog: Woodin,,,,,,,1836 May 06 - 1836 May  7 (This Lot: May  6),Christie's,"London, England","51.5074, 0.1278",14341
Br-4604,106,"HOOCH, PIETER DE (Dutch)","Interior, candlelight, with a woman frying pancakes; the cross lights admirably managed",,Painting,,,"Rotterdam, Professor von; from catalog: Professor Von Rotterdam","Bought In, 20.9 pounds",,,,,,,,1836 May 06 - 1836 May  7 (This Lot: May  6),Christie's,"London, England","51.5074, 0.1278",14341
Br-4604,67,DOMENICHINO (DOMENICO ZAMPIERI) (Italian),"Christ with the woman of Samaria, with ruins",,Painting,,,Teale; from catalog: Teale,"Bought In, 4.8 pounds",,,,,,,,1836 May 06 - 1836 May  7 (This Lot: May  6),Christie's,"London, England","51.5074, 0.1278",14341
Br-4599,77,"VELDE, ADRIAEN VAN DE (Dutch)","An upright landscape, with cattle and figures: on an open space in a richly wooded landscape, are a female peasant with a child in her arms, and near her another child, and a woman milking a goat, before which two kids are frisking; in a gleam of light stands a grey horse and two cows, and sheep are reposing; through an opening is seen a beautiful distant country.  This charming composition is full of truth, and coloured in a clear and harmonious tone: it was formerly in the Holderness collection, and afterwards in that of Mr. Ewer",,Painting,upright,,"Greville, Brook; from catalog: Brook Greville Esq","Sold, 595.5 pounds","Bredel, Charles A.; from catalog: Bredel",,Holderness (from Catalogue: Holderness collection)<br>Ewer (from Catalogue: Mr. Ewer),1832/05/12 LOCH 0012 EWER,,,"Moskva, Rossiya. Musei imena Pushkina.(3252)",1836 Apr 30,Christie's,"London, England","51.5074, 0.1278",14333
Br-4599,74,WOUWERMAN (Dutch),"A peasant holding a brown horse, in conversation with a woman who is seated, a boy leaning on her lap, and a dog by her side; near to them, another man is leading a grey horse loaded, and, on the continuation of the same road, other peasants with loaded horses are passing towards a mountainous distance, a pool of water is on the right of the picture in the foreground; an exquisite specimen, of beautiful quality",,Painting,,,"Greville, Brook; from catalog: Brook Greville Esq","Sold, 336","Dunford, James; from catalog: Dunford",,,,,,,1836 Apr 30,Christie's,"London, England","51.5074, 0.1278",14333
Br-4594,115,"BORCH, GERARD TER (II) (Dutch)","View of Scheveling, with a cavalier and his family in conversation with a woman selling fish; a carriage in the distance, and many figures with fishing-boats on the beach; a rare specimen of the master",,Painting,,,"Houlton, John D.; from catalog: Houlton","Bought In, 54 Gs",,,,,,1837/06/24 LOCH 0122 |X Br-4771,,1836 Apr 23,Christie's,"London, England","51.5074, 0.1278",14317
Br-4594,125,"TENIERS, DAVID (THE YOUNGER) (Flemish)","A Grand Landscape, with a Farm-yard, in which an old man is feeding fowls, and a woman drawing water at a well, near which are some utensils; beyond the enclosure is seen a village church, and a man carrying a sack of corn to a windmill; a glowing evening sun, reflected in a pond, lights up the picture; it is in a pure state, and has never been lined",,Painting,,,"Houlton, John D.; from catalog: Houlton","Bought In, 270.0 pounds",,,,,,1837/06/24 LOCH 0124 HOULTON |X Br-4771,,1836 Apr 23,Christie's,"London, England","51.5074, 0.1278",14317
Br-4599,59,"STAVEREN, JAN ADRIAENSZ. VAN (Dutch)","A woman drawing water at a well, and a dog with a bone upon a bench with utensils; exquisitely finished",,Painting,,,"Greville, Brook; from catalog: Brook Greville Esq","Sold, 16.5 pounds",Powell [?]; from catalog: Powell [?],,,,,,,1836 Apr 30,Christie's,"London, England","51.5074, 0.1278",14333
Br-4742,106,"DOU, GERARD (Dutch)","A woman hanging up a bird at a sculptured window, on which are a Turkey carpet and utensils",,Painting,,,"Wenlock, Ld; from catalog: Ld Wenlock","Sold, 94.10 pounds",Brown; from catalog: Brown,,,,,,,1837 May 06,Christie's,"London, England","51.5074, 0.1278",14702
Br-4844,29,"VELDE, ADRIAEN VAN DE (Dutch)","A Dutch farm, with a woman milking a cow, and sheep coming out of a shed, with hilly, wooded background",,Painting,,,Meadows; from catalog: Meadows,"Sold, 36.4 £","Peacock, Michael; from catalog: Peacock",,,,,,,1838 Feb 10,Christie's,"London, England","51.5074, 0.1278",14930
Br-5016,73,"TENIERS, DAVID (THE YOUNGER) (Flemish)","An interior, with an old woman dressing a wound in her hand",,Painting,,,Stephens; from catalog: Stephens Arlington W Camden Town,"Sold, 1.1 £",Becke; from catalog: Becke,,,,,,,1839 Apr 26,Christie's,"London, England","51.5074, 0.1278",15411
Br-5016,94,"KALF, WILLEM (Dutch)",A woman churning,,Painting,,,Netscher; from catalog: Netscher,"Sold, 1.11 £ for lots 94 & 95",Foster; from catalog: Foster,This lot was sold with lot 95 by Teniers.,,,,,,1839 Apr 26,Christie's,"London, England","51.5074, 0.1278",15411
Br-5016,96,"DUSART, CORNELIS (Dutch)",A drunken market woman with fruit; highly finished,,Painting,,,Netscher; from catalog: Netscher,"Bought In, 5.15 £",,,,,,,,1839 Apr 26,Christie's,"London, England","51.5074, 0.1278",15411
Br-5016,113,"HOOCH, PIETER DE (Dutch)","An interior, with a woman blowing a fire",,Painting,,,Netscher; from catalog: Netscher,"Sold, 8.0 £",Bond; from catalog: Bond,,,,,,,1839 Apr 26,Christie's,"London, England","51.5074, 0.1278",15411
Br-5016,123,REICHENBACH (German),A woman with a lantern; oval (companion to lot 124),,Painting,oval,,Netscher; from catalog: Netscher,"Sold, 2.6 £",Meade; from catalog: Meade,,,,,,,1839 Apr 26,Christie's,"London, England","51.5074, 0.1278",15411
Br-4704,42,"FIELDING, NATHAN THEODORE (British)",An old woman reading,,Painting,,,Bragge; from catalog: Bragge,"Bought In, 3.3 pounds",,,,,,,,1837 Feb 11,Christie's,"London, England","51.5074, 0.1278",14574
Br-4704,35,"DENNER, BALTHASAR (German)",An old woman reading; well-coloured,,Painting,,,Bragge; from catalog: Bragge,"Bought In, 6.6 pounds",,,,,,,,1837 Feb 11,Christie's,"London, England","51.5074, 0.1278",14574
Br-4696,97,"GIORDANO, LUCA (Italian)",Head of an old woman,,Painting,,,Faulkner; from catalog: Faulkner,"Sold, 0.12 pounds",Marcott; from catalog: Marcott,,,,,,,1837 Jan 21,Christie's,"London, England","51.5074, 0.1278",14549
Br-4711,102,"MORLAND, GEORGE (British)","Cart horses in a stable, and a man in conversation with a woman at a door; admirably painted",,Painting,,,"Scott, Thompson; from catalog: Late Thompson Scott Esq","Bought In, 21 Gs",,,,,,,,1837 Feb 25,Christie's,"London, England","51.5074, 0.1278",14591
Br-4617,13,"HALS, FRANS (I) (Dutch)",A woman with a pigeon,,Painting,,,"Wastie, John; from catalog: John Wastie Esq","Sold, 1.0 pounds",Cecil; from catalog: Cecil,,,,,,,1836 May 27 - 1836 May 28 (This Lot: May 27),Christie's,"London, England","51.5074, 0.1278",14374
Br-4608,17,"BERGEN, DIRK VAN (Dutch)","The cascade of Tivoli, with a woman keeping sheep",,Painting,,,"Wastie, John; from catalog: John Wastie Esq","Sold, 1.4 pounds",Adams; from catalog: Adams,,,,,,,1836 May 13 - 1836 May 14 (This Lot: May 13),Christie's,"London, England","51.5074, 0.1278",14353
Br-4616,105,"TENIERS, DAVID (THE YOUNGER) (Flemish)","An old man and woman in conversation, a dog with a basket near them; a charming specimen, full of natural character",,Painting,,,Bryant; from catalog: B[ryant],"Bought In, 45 Gs",,,,,,,,1836 May 26,Christie's,"London, England","51.5074, 0.1278",14371
Br-4617,112,OSTADE (Dutch),"An interior, with two boors carousing, and an old woman at work",,Painting,,,"Wastie, John; from catalog: John Wastie Esq","Sold, 2.0 pounds",Slatter; from catalog: Slatter,,,,,,,1836 May 27 - 1836 May 28 (This Lot: May 28),Christie's,"London, England","51.5074, 0.1278",14374
Br-4617,106,"LASTMAN, PIETER PIETERSZ. (Dutch)","Elijah and the widow, in a landscape, with buildings",,Painting,,,"Wastie, John; from catalog: John Wastie Esq","Sold, 6.10 pounds",Watkins; from catalog: Watkins,,,,,,"Moskva, Rossiya. Musei imena Pushkina.(3930) (?) as Elisha & the Shunemite woman",1836 May 27 - 1836 May 28 (This Lot: May 28),Christie's,"London, England","51.5074, 0.1278",14374
Br-4617,10,"DOU, GERARD (Dutch)",Head of an old woman,,Painting,,,"Wastie, John; from catalog: John Wastie Esq","Sold, 1.2 pounds",Watkins; from catalog: Watkins,,,,,,,1836 May 27 - 1836 May 28 (This Lot: May 28),Christie's,"London, England","51.5074, 0.1278",14374
Br-4617,18,"WHEATLEY, FRANCIS (British), changed to Ward, James","Interior, with a woman spinning",,Painting,,,"Wastie, John; from catalog: John Wastie Esq","Sold, 1.11 pounds",Gibson; from catalog: Gibson,The artist's name was changed by hand from Wheatley to Ward in the CL copy of the catalogue.,,,,,,1836 May 27 - 1836 May 28 (This Lot: May 28),Christie's,"London, England","51.5074, 0.1278",14374
Br-4617,[A]0002,"BERCHEM, NICOLAES PIETERSZ. (Dutch)","A herdsman holding by the horns a cow, which a woman is milking; both the figures are on the further side of the animal; a dog is near them, and two mules and an ass are seen in the background.  See Smith's Catalogue, Part V. p. 86",,Painting,,,"Downman, H.R.; from catalog: H R Downman Bristol","Bought In, 20.9 pounds",,,,,,,,1836 May 27 - 1836 May 28 (This Lot: May 27),Christie's,"London, England","51.5074, 0.1278",14374
Br-4617,[A]0001,"METSU, GABRIEL (Dutch)",A woman with a child in her lap; a very clever slight picture,,Painting,,,"Downman, H.R.; from catalog: H R Downman Bristol","Bought In, 8.0 pounds",,,,,,,,1836 May 27 - 1836 May 28 (This Lot: May 27),Christie's,"London, England","51.5074, 0.1278",14374
Br-4617,88,"ZUCCARELLI, FRANCESCO (Italian)","An Italian landscape, with a woman milking a cow; and other figures",,Painting,,,"Wastie, John; from catalog: John Wastie Esq",Withdrawn,,,,,,,,1836 May 27 - 1836 May 28 (This Lot: May 28),Christie's,"London, England","51.5074, 0.1278",14374
Br-4716,40,REMBRANDT HARMENSZ. VAN RIJN (Dutch),Head of a woman,,Painting,,,Bendixen; from catalog: Bendixen,"Sold, 2.0 pounds for lots 40 & 41","Rutley, John Lewis; from catalog: Rutley",This lot was sold with lot 41 by Maas.,,,,,,1837 Mar 11,Christie's,"London, England","51.5074, 0.1278",14607
Br-4645,102,PIETRO DA CORTONA (Italian),Christ and the Canaanitish woman,,Painting,,,"Whetmore, Mrs.; from catalog: Mrs Whetmore","Bought In, 11.0 pounds",,,,,,,,1836 Jul 02,Christie's,"London, England","51.5074, 0.1278",14418
Br-4680,0114[b],[ANONYMOUS] (Unknown),A woman and child at a window; and a peacock (THIS LOT:  A peacock; lot 114[a] by Ostade),,Painting,,,Crabtree; from catalog: Crabtree,"Sold, 1.6 pounds for lots 114[a] & 114[b]",Humeman [?]; from catalog: Humeman [?],,,,,,,1836 Nov 26,Christie's,"London, England","51.5074, 0.1278",14504
